"","tip","cites"
"1","Abeillia abeillei",0
"2","Abroscopus albogularis",0
"3","Abroscopus schisticeps",0
"4","Abroscopus superciliaris",0
"5","Aburria aburri",0
"6","Acanthagenys rufogularis",2
"7","Acanthidops bairdii",0
"8","Acanthisitta chloris",8
"9","Acanthiza apicalis",0
"10","Acanthiza chrysorrhoa",0
"11","Acanthiza ewingii",0
"12","Acanthiza inornata",0
"13","Acanthiza iredalei",0
"14","Acanthiza katherina",0
"15","Acanthiza lineata",1
"16","Acanthiza murina",0
"17","Acanthiza nana",0
"18","Acanthiza pusilla",2
"19","Acanthiza reguloides",1
"20","Acanthiza robustirostris",0
"21","Acanthiza uropygialis",0
"22","Acanthorhynchus superciliosus",2
"23","Acanthorhynchus tenuirostris",1
"24","Acanthornis magna",0
"25","Accipiter albogularis",0
"26","Accipiter badius",3
"27","Accipiter bicolor",0
"28","Accipiter brachyurus",0
"29","Accipiter brevipes",2
"30","Accipiter butleri",0
"31","Accipiter castanilius",0
"32","Accipiter chilensis",0
"33","Accipiter chionogaster",0
"34","Accipiter cirrocephalus",1
"35","Accipiter collaris",0
"36","Accipiter cooperii",37
"37","Accipiter erythrauchen",0
"38","Accipiter erythronemius",0
"39","Accipiter erythropus",0
"40","Accipiter fasciatus",0
"41","Accipiter francesiae",0
"42","Accipiter gentilis",93
"43","Accipiter griseiceps",0
"44","Accipiter gularis",7
"45","Accipiter gundlachi",0
"46","Accipiter haplochrous",0
"47","Accipiter henicogrammus",0
"48","Accipiter henstii",0
"49","Accipiter imitator",0
"50","Accipiter luteoschistaceus",0
"51","Accipiter madagascariensis",0
"52","Accipiter melanochlamys",0
"53","Accipiter melanoleucus",0
"54","Accipiter meyerianus",0
"55","Accipiter minullus",0
"56","Accipiter nanus",0
"57","Accipiter nisus",38
"58","Accipiter novaehollandiae",0
"59","Accipiter ovampensis",0
"60","Accipiter poliocephalus",0
"61","Accipiter poliogaster",0
"62","Accipiter princeps",0
"63","Accipiter rhodogaster",0
"64","Accipiter rufitorques",0
"65","Accipiter rufiventris",0
"66","Accipiter soloensis",0
"67","Accipiter striatus",18
"68","Accipiter superciliosus",0
"69","Accipiter tachiro",0
"70","Accipiter toussenelii",0
"71","Accipiter trinotatus",0
"72","Accipiter trivirgatus",4
"73","Accipiter ventralis",0
"74","Accipiter virgatus",1
"75","Aceros cassidix",0
"76","Aceros comatus",0
"77","Aceros corrugatus",3
"78","Aceros everetti",0
"79","Aceros leucocephalus",1
"80","Aceros narcondami",0
"81","Aceros nipalensis",0
"82","Aceros plicatus",0
"83","Aceros subruficollis",0
"84","Aceros undulatus",1
"85","Aceros waldeni",0
"86","Achaetops pycnopygius",0
"87","Acridotheres albocinctus",0
"88","Acridotheres cinereus",0
"89","Acridotheres cristatellus",0
"90","Acridotheres fuscus",0
"91","Acridotheres ginginianus",3
"92","Acridotheres grandis",1
"93","Acridotheres tristis",38
"94","Acrobatornis fonsecai",0
"95","Acrocephalus aedon",0
"96","Acrocephalus aequinoctialis",0
"97","Acrocephalus agricola",1
"98","Acrocephalus arundinaceus",53
"99","Acrocephalus atyphus",1
"100","Acrocephalus australis",1
"101","Acrocephalus baeticatus",3
"102","Acrocephalus bistrigiceps",2
"103","Acrocephalus brevipennis",0
"104","Acrocephalus caffer",0
"105","Acrocephalus concinens",0
"106","Acrocephalus dumetorum",4
"107","Acrocephalus familiaris",0
"108","Acrocephalus gracilirostris",0
"109","Acrocephalus griseldis",0
"110","Acrocephalus kerearako",0
