"","species","id","Lineage_Name","parasiteGenus","order","family","genus","record","Pr","Jetz.species","match"
"1","Abroscopus superciliaris","ABSUP01_Abroscopus superciliaris","ABSUP01","Haemoproteus","Passeriformes","Sylviidae","Abroscopus",1,0,NA,NA
"2","Acanthagenys rufogularis","ACARUF01_Acanthagenys rufogularis","ACARUF01","Haemoproteus","Passeriformes","Meliphagidae","Acanthagenys",1,0,NA,NA
"3","Acanthagenys rufogularis","CLIPIC01_Acanthagenys rufogularis","CLIPIC01","Haemoproteus","Passeriformes","Meliphagidae","Acanthagenys",1,0,NA,NA
"4","Acanthiza katherina","ORW1_Acanthiza katherina","ORW1","Plasmodium","Passeriformes","Pardalotidae","Acanthiza",1,0,"Acanthiza_katherina","yes"
"5","Acanthorhynchus tenuirostris","ACATEN01_Acanthorhynchus tenuirostris","ACATEN01","Haemoproteus","Passeriformes","Meliphagidae","Acanthorhynchus",1,0,"Acanthorhynchus_tenuirostris","yes"
"6","Accipiter badius","ACCBAD01_Accipiter badius","ACCBAD01","Plasmodium","Falconiformes","Accipitridae","Accipiter",1,0,NA,NA
"7","Accipiter badius","ACCBAD02_Accipiter badius","ACCBAD02","Haemoproteus","Falconiformes","Accipitridae","Accipiter",1,0,NA,NA
"8","Accipiter brevipes","ACCBRE02_Accipiter brevipes","ACCBRE02","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_brevipes","yes"
"9","Accipiter brevipes","ACCBRE03_Accipiter brevipes","ACCBRE03","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_brevipes","yes"
"10","Accipiter brevipes","ACCBRE01_Accipiter brevipes","ACCBRE01","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_brevipes","yes"
"11","Accipiter cooperii","ACCOP01_Accipiter cooperii","ACCOP01","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_cooperii","yes"
"12","Accipiter francesiae","ACCFRA01_Accipiter francesiae","ACCFRA01","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_francesiae","yes"
"13","Accipiter francesiae","ACCFRA02_Accipiter francesiae","ACCFRA02","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_francesiae","yes"
"14","Accipiter gentilis","TURDUS1_Accipiter gentilis","TURDUS1","Plasmodium","Falconiformes","Accipitridae","Accipiter",2,0,"Accipiter_gentilis","yes"
"15","Accipiter gentilis","BUBT2_Accipiter gentilis","BUBT2","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_gentilis","yes"
"16","Accipiter gentilis","BUTBUT03_Accipiter gentilis","BUTBUT03","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",2,0,"Accipiter_gentilis","yes"
"17","Accipiter gentilis","ACCGEN02_Accipiter gentilis","ACCGEN02","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_gentilis","yes"
"18","Accipiter gentilis","ACCGEN01_Accipiter gentilis","ACCGEN01","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",2,0,"Accipiter_gentilis","yes"
"19","Accipiter gentilis","BT2_Accipiter gentilis","BT2","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_gentilis","yes"
"20","Accipiter gentilis","LINN1_Accipiter gentilis","LINN1","Plasmodium","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_gentilis","yes"
"21","Accipiter gentilis","ACCGEN03_Accipiter gentilis","ACCGEN03","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_gentilis","yes"
"22","Accipiter gularis","ACCGUL01_Accipiter gularis","ACCGUL01","Haemoproteus","Falconiformes","Accipitridae","Accipiter",1,0,NA,NA
"23","Accipiter gularis","ACCGUL02_Accipiter gularis","ACCGUL02","Haemoproteus","Falconiformes","Accipitridae","Accipiter",1,0,NA,NA
"24","Accipiter gularis","BT7_Accipiter gularis","BT7","Plasmodium","Falconiformes","Accipitridae","Accipiter",1,0,NA,NA
"25","Accipiter gularis","OTUSCO01_Accipiter gularis","OTUSCO01","Haemoproteus","Falconiformes","Accipitridae","Accipiter",1,0,NA,NA
"26","Accipiter gularis","TURDUS1_Accipiter gularis","TURDUS1","Plasmodium","Falconiformes","Accipitridae","Accipiter",1,0,NA,NA
"27","Accipiter madagascariensis","ACCFRA02_Accipiter madagascariensis","ACCFRA02","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",1,0,NA,NA
"28","Accipiter nisus","CIAE02_Accipiter nisus","CIAE02","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",2,0,"Accipiter_nisus","yes"
"29","Accipiter nisus","ACNI02_Accipiter nisus","ACNI02","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_nisus","yes"
"30","Accipiter nisus","ACCNIS01_Accipiter nisus","ACCNIS01","Haemoproteus","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_nisus","yes"
"31","Accipiter nisus","ACCNIS02_Accipiter nisus","ACCNIS02","Haemoproteus","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_nisus","yes"
"32","Accipiter nisus","BT7_Accipiter nisus","BT7","Plasmodium","Falconiformes","Accipitridae","Accipiter",2,0,"Accipiter_nisus","yes"
"33","Accipiter nisus","ACNI04_Accipiter nisus","ACNI04","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",2,0,"Accipiter_nisus","yes"
"34","Accipiter nisus","BUTBUT02_Accipiter nisus","BUTBUT02","Plasmodium","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_nisus","yes"
"35","Accipiter nisus","MILANS04_Accipiter nisus","MILANS04","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_nisus","yes"
"36","Accipiter nisus","ACNI1_Accipiter nisus","ACNI1","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",3,0,"Accipiter_nisus","yes"
"37","Accipiter nisus","ASOT06_Accipiter nisus","ASOT06","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_nisus","yes"
"38","Accipiter nisus","ACCNIS04_Accipiter nisus","ACCNIS04","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_nisus","yes"
"39","Accipiter nisus","ACCNIS03_Accipiter nisus","ACCNIS03","Haemoproteus","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_nisus","yes"
"40","Accipiter nisus","ACNI03_Accipiter nisus","ACNI03","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",2,0,"Accipiter_nisus","yes"
"41","Accipiter nisus","TURDUS1_Accipiter nisus","TURDUS1","Plasmodium","Falconiformes","Accipitridae","Accipiter",5,0,"Accipiter_nisus","yes"
"42","Accipiter nisus","BUBIBI01_Accipiter nisus","BUBIBI01","Haemoproteus","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_nisus","yes"
"43","Accipiter nisus","ACNI05_Accipiter nisus","ACNI05","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_nisus","yes"
"44","Accipiter nisus","EMSPO06_Accipiter nisus","EMSPO06","Plasmodium","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_nisus","yes"
"45","Accipiter nisus","ACCNIS05_Accipiter nisus","ACCNIS05","Plasmodium","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_nisus","yes"
"46","Accipiter nisus","ACNI07_Accipiter nisus","ACNI07","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_nisus","yes"
"47","Accipiter nisus","ACNI06_Accipiter nisus","ACNI06","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_nisus","yes"
"48","Accipiter soloensis","ACCSOL01_Accipiter soloensis","ACCSOL01","Plasmodium","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_soloensis","yes"
"49","Accipiter striatus","BT7_Accipiter striatus","BT7","Plasmodium","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_striatus","yes"
"50","Accipiter tachiro","ACCTAC01_Accipiter tachiro","ACCTAC01","Plasmodium","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_tachiro","yes"
"51","Accipiter tachiro","PLACAS02_Accipiter tachiro","PLACAS02","Plasmodium","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_tachiro","yes"
"52","Accipiter trivirgatus","ACCTRI01_Accipiter trivirgatus","ACCTRI01","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",1,0,NA,NA
"53","Accipiter virgatus","CIAE02_Accipiter virgatus","CIAE02","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",1,0,"Accipiter_virgatus","yes"
"54","Acridotheres ginginianus","STASTR01_Acridotheres ginginianus","STASTR01","Plasmodium","Passeriformes","Sturnidae","Acridotheres",1,0,"Acridotheres_ginginianus","yes"
"55","Acritillas indica","IOLIND01_Acritillas indica","IOLIND01","Haemoproteus","Passeriformes","Pycnonotidae","Acritillas",1,0,NA,NA
"56","Acritillas indica","IOLIND04_Acritillas indica","IOLIND04","Plasmodium","Passeriformes","Pycnonotidae","Acritillas",1,0,NA,NA
"57","Acritillas indica","NILSUN01_Acritillas indica","NILSUN01","Plasmodium","Passeriformes","Pycnonotidae","Acritillas",1,0,NA,NA
"58","Acritillas indica","CXPIP11_Acritillas indica","CXPIP11","Plasmodium","Passeriformes","Pycnonotidae","Acritillas",1,0,NA,NA
"59","Acritillas indica","ORW1_Acritillas indica","ORW1","Plasmodium","Passeriformes","Pycnonotidae","Acritillas",1,0,NA,NA
"60","Acrocephalus aedon","ACAED02_Acrocephalus aedon","ACAED02","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_aedon","yes"
"61","Acrocephalus aedon","ACAED01_Acrocephalus aedon","ACAED01","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_aedon","yes"
"62","Acrocephalus agricola","GRW11_Acrocephalus agricola","GRW11","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",2,1,"Acrocephalus_agricola","yes"
"63","Acrocephalus agricola","SGS1_Acrocephalus agricola","SGS1","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",3,1,"Acrocephalus_agricola","yes"
"64","Acrocephalus agricola","SW4_Acrocephalus agricola","SW4","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",3,0,"Acrocephalus_agricola","yes"
"65","Acrocephalus agricola","HIICT1_Acrocephalus agricola","HIICT1","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",2,0,"Acrocephalus_agricola","yes"
"66","Acrocephalus agricola","ACAGR1_Acrocephalus agricola","ACAGR1","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_agricola","yes"
"67","Acrocephalus agricola","ACDUM2_Acrocephalus agricola","ACDUM2","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",5,0,"Acrocephalus_agricola","yes"
"68","Acrocephalus agricola","DELURB4_Acrocephalus agricola","DELURB4","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_agricola","yes"
"69","Acrocephalus agricola","GRW04_Acrocephalus agricola","GRW04","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",2,1,"Acrocephalus_agricola","yes"
"70","Acrocephalus agricola","RW2_Acrocephalus agricola","RW2","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_agricola","yes"
"71","Acrocephalus agricola","ACAGR2_Acrocephalus agricola","ACAGR2","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",4,0,"Acrocephalus_agricola","yes"
"72","Acrocephalus arundinaceus","GRW14_Acrocephalus arundinaceus","GRW14","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_arundinaceus","yes"
"73","Acrocephalus arundinaceus","GRW17_Acrocephalus arundinaceus","GRW17","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_arundinaceus","yes"
"74","Acrocephalus arundinaceus","GRW06_Acrocephalus arundinaceus","GRW06","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",4,0,"Acrocephalus_arundinaceus","yes"
"75","Acrocephalus arundinaceus","GRW11_Acrocephalus arundinaceus","GRW11","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",2,1,"Acrocephalus_arundinaceus","yes"
"76","Acrocephalus arundinaceus","GRW09_Acrocephalus arundinaceus","GRW09","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_arundinaceus","yes"
"77","Acrocephalus arundinaceus","SW5_Acrocephalus arundinaceus","SW5","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_arundinaceus","yes"
"78","Acrocephalus arundinaceus","WW2_Acrocephalus arundinaceus","WW2","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_arundinaceus","yes"
"79","Acrocephalus arundinaceus","GRW03_Acrocephalus arundinaceus","GRW03","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",4,0,"Acrocephalus_arundinaceus","yes"
"80","Acrocephalus arundinaceus","PHSIB1_Acrocephalus arundinaceus","PHSIB1","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_arundinaceus","yes"
"81","Acrocephalus arundinaceus","GRW01_Acrocephalus arundinaceus","GRW01","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",21,0,"Acrocephalus_arundinaceus","yes"
"82","Acrocephalus arundinaceus","GRW12_Acrocephalus arundinaceus","GRW12","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_arundinaceus","yes"
"83","Acrocephalus arundinaceus","SW2_Acrocephalus arundinaceus","SW2","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",2,0,"Acrocephalus_arundinaceus","yes"
"84","Acrocephalus arundinaceus","GRW19_Acrocephalus arundinaceus","GRW19","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_arundinaceus","yes"
"85","Acrocephalus arundinaceus","RTSR1_Acrocephalus arundinaceus","RTSR1","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",4,0,"Acrocephalus_arundinaceus","yes"
"86","Acrocephalus arundinaceus","GRW05_Acrocephalus arundinaceus","GRW05","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",9,0,"Acrocephalus_arundinaceus","yes"
"87","Acrocephalus arundinaceus","GRW04_Acrocephalus arundinaceus","GRW04","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",16,1,"Acrocephalus_arundinaceus","yes"
"88","Acrocephalus arundinaceus","SYBOR10_Acrocephalus arundinaceus","SYBOR10","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_arundinaceus","yes"
"89","Acrocephalus arundinaceus","GRW18_Acrocephalus arundinaceus","GRW18","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_arundinaceus","yes"
"90","Acrocephalus arundinaceus","GRW02_Acrocephalus arundinaceus","GRW02","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",10,0,"Acrocephalus_arundinaceus","yes"
"91","Acrocephalus arundinaceus","GRW13_Acrocephalus arundinaceus","GRW13","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_arundinaceus","yes"
"92","Acrocephalus arundinaceus","GRW10_Acrocephalus arundinaceus","GRW10","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",2,0,"Acrocephalus_arundinaceus","yes"
"93","Acrocephalus arundinaceus","GRW16_Acrocephalus arundinaceus","GRW16","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_arundinaceus","yes"
"94","Acrocephalus arundinaceus","ACSTE1_Acrocephalus arundinaceus","ACSTE1","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",3,0,"Acrocephalus_arundinaceus","yes"
"95","Acrocephalus arundinaceus","SGS1_Acrocephalus arundinaceus","SGS1","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",5,1,"Acrocephalus_arundinaceus","yes"
"96","Acrocephalus arundinaceus","GRW15_Acrocephalus arundinaceus","GRW15","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_arundinaceus","yes"
"97","Acrocephalus arundinaceus","PAHIS1_Acrocephalus arundinaceus","PAHIS1","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_arundinaceus","yes"
"98","Acrocephalus arundinaceus","RW2_Acrocephalus arundinaceus","RW2","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_arundinaceus","yes"
"99","Acrocephalus arundinaceus","GRW07_Acrocephalus arundinaceus","GRW07","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_arundinaceus","yes"
"100","Acrocephalus arundinaceus","GRW08_Acrocephalus arundinaceus","GRW08","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",2,0,"Acrocephalus_arundinaceus","yes"
"101","Acrocephalus baeticatus","GRW06_Acrocephalus baeticatus","GRW06","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_baeticatus","yes"
"102","Acrocephalus baeticatus","ARW1_Acrocephalus baeticatus","ARW1","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",3,0,"Acrocephalus_baeticatus","yes"
"103","Acrocephalus baeticatus","SW1_Acrocephalus baeticatus","SW1","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_baeticatus","yes"
"104","Acrocephalus baeticatus","RW1_Acrocephalus baeticatus","RW1","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_baeticatus","yes"
"105","Acrocephalus baeticatus","MW1_Acrocephalus baeticatus","MW1","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",2,0,"Acrocephalus_baeticatus","yes"
"106","Acrocephalus baeticatus","GRW04_Acrocephalus baeticatus","GRW04","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,1,"Acrocephalus_baeticatus","yes"
"107","Acrocephalus baeticatus","ARW2_Acrocephalus baeticatus","ARW2","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_baeticatus","yes"
"108","Acrocephalus dumetorum","SW2_Acrocephalus dumetorum","SW2","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",4,0,"Acrocephalus_dumetorum","yes"
"109","Acrocephalus dumetorum","ACDUM4_Acrocephalus dumetorum","ACDUM4","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",4,0,"Acrocephalus_dumetorum","yes"
"110","Acrocephalus dumetorum","ACDUM1_Acrocephalus dumetorum","ACDUM1","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",7,0,"Acrocephalus_dumetorum","yes"
"111","Acrocephalus dumetorum","ACDUM3_Acrocephalus dumetorum","ACDUM3","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",6,0,"Acrocephalus_dumetorum","yes"
"112","Acrocephalus dumetorum","ACDUM5_Acrocephalus dumetorum","ACDUM5","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",4,0,"Acrocephalus_dumetorum","yes"
"113","Acrocephalus dumetorum","ACDUM2_Acrocephalus dumetorum","ACDUM2","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",7,0,"Acrocephalus_dumetorum","yes"
"114","Acrocephalus dumetorum","MW1_Acrocephalus dumetorum","MW1","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",5,0,"Acrocephalus_dumetorum","yes"
"115","Acrocephalus gracilirostris","LSW2_Acrocephalus gracilirostris","LSW2","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_gracilirostris","yes"
"116","Acrocephalus gracilirostris","GRW02_Acrocephalus gracilirostris","GRW02","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_gracilirostris","yes"
"117","Acrocephalus gracilirostris","PLOVEL01_Acrocephalus gracilirostris","PLOVEL01","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_gracilirostris","yes"
"118","Acrocephalus gracilirostris","LSW1_Acrocephalus gracilirostris","LSW1","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_gracilirostris","yes"
