"","id","record","species","Lineage_Name","parasiteGenus","order","family","genus","Pr","Jetz.species","match","tip"
"1","Abroscopus superciliaris_ABSUP01",1,"Abroscopus superciliaris","ABSUP01","Haemoproteus","Passeriformes","Sylviidae","Abroscopus",0,NA,NA,"Abroscopus superciliaris"
"2","Acanthagenys rufogularis_ACARUF01",1,"Acanthagenys rufogularis","ACARUF01","Haemoproteus","Passeriformes","Meliphagidae","Acanthagenys",0,NA,NA,"Acanthagenys rufogularis"
"3","Acanthagenys rufogularis_CLIPIC01",1,"Acanthagenys rufogularis","CLIPIC01","Haemoproteus","Passeriformes","Meliphagidae","Acanthagenys",0,NA,NA,"Acanthagenys rufogularis"
"4","Acanthiza katherina_ORW1",1,"Acanthiza katherina","ORW1","Plasmodium","Passeriformes","Pardalotidae","Acanthiza",0,"Acanthiza_katherina","yes","Acanthiza katherina"
"5","Acanthorhynchus tenuirostris_ACATEN01",1,"Acanthorhynchus tenuirostris","ACATEN01","Haemoproteus","Passeriformes","Meliphagidae","Acanthorhynchus",0,"Acanthorhynchus_tenuirostris","yes","Acanthorhynchus tenuirostris"
"6","Accipiter badius_ACCBAD01",1,"Accipiter badius","ACCBAD01","Plasmodium","Falconiformes","Accipitridae","Accipiter",0,NA,NA,"Accipiter badius"
"7","Accipiter badius_ACCBAD02",1,"Accipiter badius","ACCBAD02","Haemoproteus","Falconiformes","Accipitridae","Accipiter",0,NA,NA,"Accipiter badius"
"8","Accipiter brevipes_ACCBRE01",1,"Accipiter brevipes","ACCBRE01","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_brevipes","yes","Accipiter brevipes"
"9","Accipiter brevipes_ACCBRE02",1,"Accipiter brevipes","ACCBRE02","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_brevipes","yes","Accipiter brevipes"
"10","Accipiter brevipes_ACCBRE03",1,"Accipiter brevipes","ACCBRE03","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_brevipes","yes","Accipiter brevipes"
