"","id","record","species","Lineage_Name","parasiteGenus","order","family","genus","Pr","Jetz.species","match","tip"
"59","Acridotheres tristis_GRW04",5,"Sturnus tristis","GRW04","Plasmodium","Passeriformes","Sturnidae","Sturnus",1,"Acridotheres_tristis","no","Acridotheres tristis"
"63","Acridotheres tristis_SGS1",2,"Sturnus tristis","SGS1","Plasmodium","Passeriformes","Sturnidae","Sturnus",1,"Acridotheres_tristis","no","Acridotheres tristis"
"73","Acrocephalus agricola_GRW04",2,"Acrocephalus agricola","GRW04","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_agricola","yes","Acrocephalus agricola"
"74","Acrocephalus agricola_GRW11",2,"Acrocephalus agricola","GRW11","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_agricola","yes","Acrocephalus agricola"
"77","Acrocephalus agricola_SGS1",3,"Acrocephalus agricola","SGS1","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_agricola","yes","Acrocephalus agricola"
"83","Acrocephalus arundinaceus_GRW04",17,"Acrocephalus arundinaceus","GRW04","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"90","Acrocephalus arundinaceus_GRW11",2,"Acrocephalus arundinaceus","GRW11","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"105","Acrocephalus arundinaceus_SGS1",5,"Acrocephalus arundinaceus","SGS1","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"112","Acrocephalus baeticatus_GRW04",1,"Acrocephalus baeticatus","GRW04","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_baeticatus","yes","Acrocephalus baeticatus"
"125","Acrocephalus gracilirostris_GRW04",1,"Acrocephalus gracilirostris","GRW04","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_gracilirostris","yes","Acrocephalus gracilirostris"
"131","Acrocephalus melanopogon_GRW11",1,"Acrocephalus melanopogon","GRW11","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_melanopogon","yes","Acrocephalus melanopogon"
"133","Acrocephalus mendanae_GRW04",1,"Acrocephalus mendanae","GRW04","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_mendanae","yes","Acrocephalus mendanae"
"141","Acrocephalus paludicola_GRW04",1,"Acrocephalus paludicola","GRW04","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_paludicola","yes","Acrocephalus paludicola"
"158","Acrocephalus palustris_SGS1",2,"Acrocephalus palustris","SGS1","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_palustris","yes","Acrocephalus palustris"
"165","Acrocephalus schoenobaenus_GRW04",2,"Acrocephalus schoenobaenus","GRW04","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_schoenobaenus","yes","Acrocephalus schoenobaenus"
"174","Acrocephalus schoenobaenus_SGS1",2,"Acrocephalus schoenobaenus","SGS1","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_schoenobaenus","yes","Acrocephalus schoenobaenus"
"186","Acrocephalus scirpaceus_GRW04",3,"Acrocephalus scirpaceus","GRW04","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_scirpaceus","yes","Acrocephalus scirpaceus"
"189","Acrocephalus scirpaceus_GRW11",2,"Acrocephalus scirpaceus","GRW11","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_scirpaceus","yes","Acrocephalus scirpaceus"
"200","Acrocephalus scirpaceus_SGS1",5,"Acrocephalus scirpaceus","SGS1","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_scirpaceus","yes","Acrocephalus scirpaceus"
"299","Alauda arvensis_GRW11",1,"Alauda arvensis","GRW11","Plasmodium","Passeriformes","Alaudidae","Alauda",1,"Alauda_arvensis","yes","Alauda arvensis"
"301","Alauda arvensis_SGS1",2,"Alauda arvensis","SGS1","Plasmodium","Passeriformes","Alaudidae","Alauda",1,"Alauda_arvensis","yes","Alauda arvensis"
"345","Alectoris graeca_SGS1",1,"Alectoris graeca","SGS1","Plasmodium","Galliformes","Phasianidae","Alectoris",1,NA,NA,"Alectoris graeca"
"365","Alethe fuelleborni_GRW04",1,"Alethe fuelleborni","GRW04","Plasmodium","Passeriformes","Turdidae","Alethe",1,"Alethe_fuelleborni","yes","Alethe fuelleborni"
"392","Amazilia chionogaster_SGS1",1,"Amazilia chionogaster","SGS1","Plasmodium","Trochiliformes","Trochilidae","Amazilia",1,"Amazilia_chionogaster","yes","Amazilia chionogaster"
"453","Anas acuta_SGS1",1,"Anas acuta","SGS1","Plasmodium","Anseriformes","Anatidae","Anas",1,"Anas_acuta","yes","Anas acuta"
"604","Anser anser_GRW04",1,"Anser anser","GRW04","Plasmodium","Anseriformes","Anatidae","Anser",1,NA,NA,"Anser anser"
"845","Athene noctua_GRW11",1,"Athene noctua","GRW11","Plasmodium","Strigiformes","Strigidae","Athene",1,"Athene_noctua","yes","Athene noctua"
"847","Athene noctua_SGS1",3,"Athene noctua","SGS1","Plasmodium","Strigiformes","Strigidae","Athene",1,"Athene_noctua","yes","Athene noctua"
"1024","Bernieria cinereiceps_GRW04",2,"Xanthomixis cinereiceps","GRW04","Plasmodium","Passeriformes","Pycnonotidae","Xanthomixis",1,"Bernieria_cinereiceps","no","Bernieria cinereiceps"
"1037","Bernieria zosterops_GRW04",2,"Xanthomixis zosterops","GRW04","Plasmodium","Passeriformes","Pycnonotidae","Xanthomixis",1,"Bernieria_zosterops","no","Bernieria zosterops"
"1063","Botaurus stellaris_SGS1",1,"Botaurus stellaris","SGS1","Plasmodium","Ciconiiformes","Ardeidae","Botaurus",1,"Botaurus_stellaris","yes","Botaurus stellaris"
"1091","Bubo scandiaca_GRW11",1,"Bubo scandiacus","GRW11","Plasmodium","Strigiformes","Strigidae","Bubo",1,NA,NA,"Bubo scandiaca"
"1092","Bubo scandiaca_SGS1",1,"Bubo scandiacus","SGS1","Plasmodium","Strigiformes","Strigidae","Bubo",1,NA,NA,"Bubo scandiaca"
"1110","Bubulcus ibis_GRW04",1,"Bubulcus ibis","GRW04","Plasmodium","Ciconiiformes","Ardeidae","Bubulcus",1,"Bubulcus_ibis","yes","Bubulcus ibis"
"1113","Bubulcus ibis_SGS1",1,"Bubulcus ibis","SGS1","Plasmodium","Ciconiiformes","Ardeidae","Bubulcus",1,"Bubulcus_ibis","yes","Bubulcus ibis"
"1319","Carduelis cannabina_SGS1",1,"Carduelis cannabina","SGS1","Plasmodium","Passeriformes","Fringillidae","Carduelis",1,"Carduelis_cannabina","yes","Carduelis cannabina"
"1326","Carduelis carduelis_GRW11",2,"Carduelis carduelis","GRW11","Plasmodium","Passeriformes","Fringillidae","Carduelis",1,"Carduelis_carduelis","yes","Carduelis carduelis"
"1329","Carduelis carduelis_SGS1",5,"Carduelis carduelis","SGS1","Plasmodium","Passeriformes","Fringillidae","Carduelis",1,"Carduelis_carduelis","yes","Carduelis carduelis"
"1343","Carduelis chloris_SGS1",5,"Carduelis chloris","SGS1","Plasmodium","Passeriformes","Fringillidae","Carduelis",1,"Carduelis_chloris","yes","Carduelis chloris"
"1384","Carduelis spinus_SGS1",1,"Carduelis spinus","SGS1","Plasmodium","Passeriformes","Fringillidae","Carduelis",1,"Carduelis_spinus","yes","Carduelis spinus"
"1410","Carpodacus erythrinus_SGS1",4,"Carpodacus erythrinus","SGS1","Plasmodium","Passeriformes","Fringillidae","Carpodacus",1,"Carpodacus_erythrinus","yes","Carpodacus erythrinus"
