"","species","id","order","family","genus","Pr","Jetz.species","match"
"1","Abroscopus superciliaris","ABSUP01_Abroscopus superciliaris","Passeriformes","Sylviidae","Abroscopus",0,NA,NA
"2","Acanthagenys rufogularis","ACARUF01_Acanthagenys rufogularis","Passeriformes","Meliphagidae","Acanthagenys",0,NA,NA
"4","Acanthiza katherina","ORW1_Acanthiza katherina","Passeriformes","Pardalotidae","Acanthiza",0,"Acanthiza_katherina","yes"
"5","Acanthorhynchus tenuirostris","ACATEN01_Acanthorhynchus tenuirostris","Passeriformes","Meliphagidae","Acanthorhynchus",0,"Acanthorhynchus_tenuirostris","yes"
"6","Accipiter badius","ACCBAD01_Accipiter badius","Falconiformes","Accipitridae","Accipiter",0,NA,NA
"8","Accipiter brevipes","ACCBRE02_Accipiter brevipes","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_brevipes","yes"
"11","Accipiter cooperii","ACCOP01_Accipiter cooperii","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_cooperii","yes"
"12","Accipiter francesiae","ACCFRA01_Accipiter francesiae","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_francesiae","yes"
"14","Accipiter gentilis","TURDUS1_Accipiter gentilis","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_gentilis","yes"
"22","Accipiter gularis","ACCGUL01_Accipiter gularis","Falconiformes","Accipitridae","Accipiter",0,NA,NA
"27","Accipiter madagascariensis","ACCFRA02_Accipiter madagascariensis","Falconiformes","Accipitridae","Accipiter",0,NA,NA
"28","Accipiter nisus","CIAE02_Accipiter nisus","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_nisus","yes"
"48","Accipiter soloensis","ACCSOL01_Accipiter soloensis","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_soloensis","yes"
"49","Accipiter striatus","BT7_Accipiter striatus","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_striatus","yes"
"50","Accipiter tachiro","ACCTAC01_Accipiter tachiro","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_tachiro","yes"
"52","Accipiter trivirgatus","ACCTRI01_Accipiter trivirgatus","Falconiformes","Accipitridae","Accipiter",0,NA,NA
"53","Accipiter virgatus","CIAE02_Accipiter virgatus","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_virgatus","yes"
"54","Acridotheres ginginianus","STASTR01_Acridotheres ginginianus","Passeriformes","Sturnidae","Acridotheres",0,"Acridotheres_ginginianus","yes"
"55","Acritillas indica","IOLIND01_Acritillas indica","Passeriformes","Pycnonotidae","Acritillas",0,NA,NA
"60","Acrocephalus aedon","ACAED02_Acrocephalus aedon","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_aedon","yes"
"62","Acrocephalus agricola","GRW11_Acrocephalus agricola","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_agricola","yes"
"72","Acrocephalus arundinaceus","GRW14_Acrocephalus arundinaceus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_arundinaceus","yes"
"101","Acrocephalus baeticatus","GRW06_Acrocephalus baeticatus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_baeticatus","yes"
"108","Acrocephalus dumetorum","SW2_Acrocephalus dumetorum","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_dumetorum","yes"
"115","Acrocephalus gracilirostris","LSW2_Acrocephalus gracilirostris","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_gracilirostris","yes"
"120","Acrocephalus griseldis","BRW1_Acrocephalus griseldis","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_griseldis","yes"
"121","Acrocephalus melanopogon","PADOM02_Acrocephalus melanopogon","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_melanopogon","yes"
"124","Acrocephalus mendanae","GRW04_Acrocephalus mendanae","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_mendanae","yes"
"125","Acrocephalus newtoni","ACNEW01_Acrocephalus newtoni","Passeriformes","Sylviidae","Acrocephalus",0,NA,NA
"131","Acrocephalus orientalis","GRW04_Acrocephalus orientalis","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_arundinaceus","no"
"134","Acrocephalus paludicola","SW5_Acrocephalus paludicola","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_paludicola","yes"
"143","Acrocephalus palustris","RW2_Acrocephalus palustris","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_palustris","yes"
"157","Acrocephalus rufescens","LSW1_Acrocephalus rufescens","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_rufescens","yes"
"158","Acrocephalus schoenobaenus","SGS1_Acrocephalus schoenobaenus","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_schoenobaenus","yes"
"176","Acrocephalus scirpaceus","RW3_Acrocephalus scirpaceus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_scirpaceus","yes"
"201","Acrocephalus sechellensis","GRW01_Acrocephalus sechellensis","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_sechellensis","yes"
"202","Acrocephalus stentoreus","GRW03_Acrocephalus stentoreus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_stentoreus","yes"
"205","Actenoides lindsayi","ACTLIN03_Actenoides lindsayi","Coraciiformes","Alcedinidae","Actenoides",0,"Actenoides_lindsayi","yes"
"214","Actinodura egertoni","TROERY02_Actinodura egertoni","Passeriformes","Timaliidae","Actinodura",0,NA,NA
"215","Actitis macularia","ARRTAC05_Actitis macularia","Charadriiformes","Scolopacidae","Actitis",0,NA,NA
"216","Adelomyia melanogenys","TROAED15_Adelomyia melanogenys","Trochiliformes","Trochilidae","Adelomyia",0,"Adelomyia_melanogenys","yes"
"225","Aegithalos caudatus","ACAED02_Aegithalos caudatus","Passeriformes","Aegithalidae","Aegithalos",0,NA,NA
"236","Aegithalos concinnus","AEGCON01_Aegithalos concinnus","Passeriformes","Aegithalidae","Aegithalos",0,NA,NA
"237","Aegithina tiphia","GLACUC02_Aegithina tiphia","Passeriformes","Aegithalidae","Aegithina",0,"Aegithina_tiphia","yes"
"239","Aegolius acadicus","PADOM11_Aegolius acadicus","Strigiformes","Strigidae","Aegolius",0,"Aegolius_acadicus","yes"
"240","Aegolius funereus","AEFUN01_Aegolius funereus","Strigiformes","Strigidae","Aegolius",0,"Aegolius_funereus","yes"
"247","Aegypius monachus","AEGMO03_Aegypius monachus","Falconiformes","Accipitridae","Aegypius",0,"Aegypius_monachus","yes"
"251","Agamia agami","AGAGA01_Agamia agami","Ciconiiformes","Ardeidae","Agamia",0,"Agamia_agami","yes"
"252","Agelaius phoeniceus","COLBF21_Agelaius phoeniceus","Passeriformes","Icteridae","Agelaius",0,"Agelaius_phoeniceus","yes"
"262","Agelastes niger","AGNIG01_Agelastes niger","Galliformes","Numididae","Agelastes",0,"Agelastes_niger","yes"
"263","Aglaeactis castelnaudii","OCHRUF02_Aglaeactis castelnaudii","Trochiliformes","Trochilidae","Aglaeactis",0,NA,NA
"269","Aglaeactis cupripennis","BAEBIC02_Aglaeactis cupripennis","Trochiliformes","Trochilidae","Aglaeactis",0,NA,NA
"271","Aglaiocercus kingi","TROAED02_Aglaiocercus kingi","Trochiliformes","Trochilidae","Aglaiocercus",0,NA,NA
"274","Ailuroedus buccoides","GRW06_Ailuroedus buccoides","Passeriformes","Ptilonorhynchidae","Ailuroedus",0,NA,NA
"275","Ailuroedus melanotis","SCEDEN01_Ailuroedus melanotis","Passeriformes","Ptilonorhynchidae","Ailuroedus",0,"Ailuroedus_melanotis","yes"
"278","Aix galericulata","AIXGAL01_Aix galericulata","Anseriformes","Anatidae","Aix",0,NA,NA
"279","Alauda arvensis","SYAT05_Alauda arvensis","Passeriformes","Alaudidae","Alauda",0,"Alauda_arvensis","yes"
"289","Alcedo atthis","ALCATT04_Alcedo atthis","Coraciiformes","Alcedinidae","Alcedo",0,"Alcedo_atthis","yes"
"297","Alcedo leucogaster","ALCLEU03_Alcedo leucogaster","Coraciiformes","Alcedinidae","Alcedo",0,"Alcedo_leucogaster","yes"
"300","Alcedo quadribrachys","ALCQUA03_Alcedo quadribrachys","Coraciiformes","Alcedinidae","Alcedo",0,"Alcedo_quadribrachys","yes"
"302","Alcippe brunneicauda","PYCMEL02_Alcippe brunneicauda","Passeriformes","Timaliidae","Alcippe",0,"Alcippe_brunneicauda","yes"
"303","Alcippe castaneceps","STANIG02_Alcippe castaneceps","Passeriformes","Timaliidae","Alcippe",0,NA,NA
"304","Alcippe morrisonia","AEGCON01_Alcippe morrisonia","Passeriformes","Timaliidae","Alcippe",0,"Alcippe_morrisonia","yes"
"318","Alcippe nipalensis","ALNIP01_Alcippe nipalensis","Passeriformes","Timaliidae","Alcippe",0,NA,NA
"319","Alcippe poioicephala","ALCPOI06_Alcippe poioicephala","Passeriformes","Timaliidae","Alcippe",0,NA,NA
"330","Alectoris graeca","SGS1_Alectoris graeca","Galliformes","Phasianidae","Alectoris",1,NA,NA
"331","Alectoris rufa","ALERUF01_Alectoris rufa","Galliformes","Phasianidae","Alectoris",0,NA,NA
"337","Alectroenas madagascariensis","FOUMAD02_Alectroenas madagascariensis","Columbiformes","Columbidae","Alectroenas",0,NA,NA
"339","Alectura lathami","GRW06_Alectura lathami","Galliformes","Megapodiidae","Alectura",0,NA,NA
"340","Alethe diademata","ALEDIA01_Alethe diademata","Passeriformes","Turdidae","Alethe",0,"Alethe_diademata","yes"
"342","Alethe fuelleborni","PSEGRI01_Alethe fuelleborni","Passeriformes","Turdidae","Alethe",0,"Alethe_fuelleborni","yes"
"353","Alethe poliocephala","ALPOL01_Alethe poliocephala","Passeriformes","Turdidae","Alethe",0,"Alethe_poliocephala","yes"
"357","Alopochen aegyptiacus","DENVID01_Alopochen aegyptiacus","Anseriformes","Anatidae","Alopochen",0,"Alopochen_aegyptiaca","no"
"360","Amandava amandava","STASTR01_Amandava amandava","Passeriformes","Estrildidae","Amandava",0,"Amandava_amandava","yes"
"363","Amandava subflava","AFR040_Amandava subflava","Passeriformes","Estrildidae","Amandava",0,"Amandava_subflava","yes"
"366","Amaurornis phoenicurus","CXNIG01_Amaurornis phoenicurus","Gruiformes","Rallidae","Amaurornis",0,NA,NA
"367","Amazilia alticola","TROAED20_Amazilia alticola","Trochiliformes","Trochilidae","Amazilia",0,"Amazilia_amazilia","no"
"368","Amazilia amazilia","CAMRUB03_Amazilia amazilia","Trochiliformes","Trochilidae","Amazilia",0,NA,NA
"371","Amazilia beryllina","JUNPHA01_Amazilia beryllina","Trochiliformes","Trochilidae","Amazilia",0,NA,NA
"372","Amazilia chionogaster","AMAVIR01_Amazilia chionogaster","Trochiliformes","Trochilidae","Amazilia",0,"Amazilia_chionogaster","yes"
"375","Amazilia viridicauda","AMAVIR01_Amazilia viridicauda","Trochiliformes","Trochilidae","Amazilia",0,NA,NA
"377","Amazona aestiva","NYCNYC01_Amazona aestiva","Psittaciformes","Psittacidae","Amazona",0,"Amazona_aestiva","yes"
"378","Amazonetta brasiliensis","BUVIR04_Amazonetta brasiliensis","Anseriformes","Anatidae","Amazonetta",0,"Amazonetta_brasiliensis","yes"
"381","Amblycercus holosericeus","DIGCAE01_Amblycercus holosericeus","Passeriformes","Icteridae","Amblycercus",0,"Amblycercus_holosericeus","yes"
"386","Ammodramus aurifrons","AMMAUR02_Ammodramus aurifrons","Passeriformes","Fringillidae","Ammodramus",0,"Ammodramus_aurifrons","yes"
"394","Ammodramus henslowii","SEIAUR01_Ammodramus henslowii","Passeriformes","Fringillidae","Ammodramus",0,"Ammodramus_henslowii","yes"
"395","Ammodramus humeralis","VOLJAC02_Ammodramus humeralis","Passeriformes","Fringillidae","Ammodramus",0,"Ammodramus_humeralis","yes"
"400","Ammodramus leconteii","DUMCAR01_Ammodramus leconteii","Passeriformes","Fringillidae","Ammodramus",0,NA,NA
"401","Ampelion rubrocristatus","TROAED16_Ampelion rubrocristatus","Passeriformes","Cotingidae","Ampelion",0,NA,NA
"402","Amphispiza bilineata","TROAED24_Amphispiza bilineata","Passeriformes","Fringillidae","Amphispiza",0,"Amphispiza_bilineata","yes"
"410","Anabacerthia striaticollis","ANASTR01_Anabacerthia striaticollis","Passeriformes","Furnariidae","Anabacerthia",0,NA,NA
"413","Anabathmis hartlaubii","ANAHAR02_Anabathmis hartlaubii","Passeriformes","Nectariniidae","Anabathmis",0,"Nectarinia_hartlaubii","no"
"420","Anabathmis newtonii","WW3_Anabathmis newtonii","Passeriformes","Nectariniidae","Anabathmis",0,"Nectarinia_newtonii","no"
"429","Anabazenops fuscus","TRMEL02_Anabazenops fuscus","Passeriformes","Furnariidae","Anabazenops",0,"Anabazenops_fuscus","yes"
"430","Anairetes fernandezianus","TUMIG03_Anairetes fernandezianus","Passeriformes","Tyrannidae","Anairetes",0,"Anairetes_fernandezianus","yes"
"432","Anairetes parulus","OCHLEU01_Anairetes parulus","Passeriformes","Tyrannidae","Anairetes",0,NA,NA
"437","Anaplectes rubriceps","ANARUB01_Anaplectes rubriceps","Passeriformes","Ploceidae","Anaplectes",0,NA,NA
"439","Anas acuta","BT7_Anas acuta","Anseriformes","Anatidae","Anas",0,"Anas_acuta","yes"
"456","Anas crecca","ANACRE01_Anas crecca","Anseriformes","Anatidae","Anas",0,"Anas_crecca","yes"
"463","Anas cyanoptera","ANACYA01_Anas cyanoptera","Anseriformes","Anatidae","Anas",0,NA,NA
"465","Anas discors","BWTE24_Anas discors","Anseriformes","Anatidae","Anas",0,"Anas_discors","yes"
"502","Anas falcata","ANACRE02_Anas falcata","Anseriformes","Anatidae","Anas",0,NA,NA
"503","Anas georgica","ANAGEO04_Anas georgica","Anseriformes","Anatidae","Anas",0,NA,NA
"507","Anas platyrhynchos","SYBOR02_Anas platyrhynchos","Anseriformes","Anatidae","Anas",0,"Anas_platyrhynchos","yes"
"512","Andropadus chlorigula","GRW09_Andropadus chlorigula","Passeriformes","Pycnonotidae","Andropadus",0,"Andropadus_nigriceps","no"
"513","Andropadus gracilis","GRW09_Andropadus gracilis","Passeriformes","Pycnonotidae","Andropadus",0,"Andropadus_gracilis","yes"
"514","Andropadus latirostris","ANLAT17_Andropadus latirostris","Passeriformes","Pycnonotidae","Andropadus",0,"Andropadus_latirostris","yes"
"540","Andropadus masukuensis","GRW09_Andropadus masukuensis","Passeriformes","Pycnonotidae","Andropadus",0,"Andropadus_masukuensis","yes"
"541","Andropadus milanjensis","PSEGRI01_Andropadus milanjensis","Passeriformes","Pycnonotidae","Andropadus",0,"Andropadus_milanjensis","yes"
"549","Andropadus tephrolaemus","AFR212_Andropadus tephrolaemus","Passeriformes","Pycnonotidae","Andropadus",0,"Andropadus_tephrolaemus","yes"
"566","Andropadus virens","ANLAT07_Andropadus virens","Passeriformes","Pycnonotidae","Andropadus",0,"Andropadus_virens","yes"
"574","Anisognathus flavinuchus","ANIFLA01_Anisognathus flavinuchus","Passeriformes","Fringillidae","Anisognathus",0,NA,NA
"575","Anisognathus igniventris","ANIIGN01_Anisognathus igniventris","Passeriformes","Fringillidae","Anisognathus",0,"Anisognathus_igniventris","yes"
"582","Anisognathus lacrymosus","ANILAC01_Anisognathus lacrymosus","Passeriformes","Fringillidae","Anisognathus",0,"Anisognathus_lacrymosus","yes"
"584","Anisognathus melanogenys","ARBRU02_Anisognathus melanogenys","Passeriformes","Fringillidae","Anisognathus",0,NA,NA
"586","Anisognathus somptuosus","PAVER01_Anisognathus somptuosus","Passeriformes","Fringillidae","Anisognathus",0,"Anisognathus_somptuosus","yes"
"595","Anodorhynchus hyacinthinus","NYCNYC01_Anodorhynchus hyacinthinus","Psittaciformes","Psittacidae","Anodorhynchus",0,"Anodorhynchus_hyacinthinus","yes"
"596","Anous stolidus","CREFUR01_Anous stolidus","Charadriiformes","Laridae","Anous",0,"Anous_stolidus","yes"
"597","Anser anser","ANSANS02_Anser anser","Anseriformes","Anatidae","Anser",0,NA,NA
"601","Anser canagica","BT7_Anser canagica","Anseriformes","Anatidae","Anser",0,NA,NA
"619","Anser cygnoides","NYCNYC01_Anser cygnoides","Anseriformes","Anatidae","Anser",0,"Anser_cygnoides","yes"
"621","Anser fabalis","ANSFAB01_Anser fabalis","Anseriformes","Anatidae","Anser",0,"Anser_fabalis","yes"
"622","Anser indicus","TUSW04_Anser indicus","Anseriformes","Anatidae","Anser",0,"Anser_indicus","yes"
"624","Anthobaphes violacea","CINCHA01_Anthobaphes violacea","Passeriformes","Nectariniidae","Anthobaphes",0,"Nectarinia_violacea","no"
"627","Anthodiaeta platura","PYSUN1_Anthodiaeta platura","Passeriformes","Nectariniidae","DUMMY_GENUS_1",0,"Anthreptes_platurus","no"
"630","Anthornis melanura","BELL02_Anthornis melanura","Passeriformes","Meliphagidae","Anthornis",0,"Anthornis_melanura","yes"
"636","Anthreptes seimundi","ANSEI01_Anthreptes seimundi","Passeriformes","Nectariniidae","Anthreptes",0,"Nectarinia_seimundi","no"
"638","Anthropoides paradiseus","BAREGI06_Anthropoides paradiseus","Gruiformes","Gruidae","Anthropoides",0,NA,NA
"647","Anthus berthelotii","LK05_Anthus berthelotii","Passeriformes","Motacillidae","Anthus",0,"Anthus_berthelotii","yes"
"653","Anthus campestris","ANTCAM20_Anthus campestris","Passeriformes","Motacillidae","Anthus",0,"Anthus_campestris","yes"
"681","Anthus cinnamomeus","PBPIP1_Anthus cinnamomeus","Passeriformes","Motacillidae","Anthus",0,"","no"
"682","Anthus hodgsoni","ANTHOD01_Anthus hodgsoni","Passeriformes","Motacillidae","Anthus",0,"Anthus_hodgsoni","yes"
"686","Anthus leucophrys","PBPIP1_Anthus leucophrys","Passeriformes","Motacillidae","Anthus",0,"Anthus_leucophrys","yes"
"687","Anthus rubescens","ANTRUB01_Anthus rubescens","Passeriformes","Motacillidae","Anthus",0,NA,NA
"693","Anthus rufulus","PBPIP1_Anthus rufulus","Passeriformes","Motacillidae","Anthus",0,NA,NA
"694","Anthus similis","REB11_Anthus similis","Passeriformes","Motacillidae","Anthus",0,"Anthus_similis","yes"
"696","Anthus trivialis","WW3_Anthus trivialis","Passeriformes","Motacillidae","Anthus",0,"Anthus_trivialis","yes"
"708","Antilophia galeata","ANGAL01_Antilophia galeata","Passeriformes","Tyrannidae","Antilophia",0,"Antilophia_galeata","yes"
"709","Apalis thoracica","AFR182_Apalis thoracica","Passeriformes","Cisticolidae","Apalis",0,"Apalis_thoracica","yes"
"711","Apaloderma vittatum","BUL07_Apaloderma vittatum","Trogoniformes","Trogonidae","Apaloderma",0,"Apaloderma_vittatum","yes"
"714","Aphelocoma californica","APHCAL01_Aphelocoma californica","Passeriformes","Corvidae","Aphelocoma",0,"Aphelocoma_californica","yes"
"717","Aphelocoma woodhouseii","TROAED24_Aphelocoma woodhouseii","Passeriformes","Corvidae","Aphelocoma",0,"Aphelocoma_californica","no"
"726","Aphrastura spinicauda","APSPI02_Aphrastura spinicauda","Passeriformes","Furnariidae","Aphrastura",0,"Aphrastura_spinicauda","yes"
"749","Aplopelia larvata","ESTMEL03_Aplopelia larvata","Columbiformes","Columbidae","Aplopelia",0,"Aplopelia_larvata","yes"
