"","row","trainAUC","testAUC","spec","sen","best","n.trees","interaction.depth","shrinkage","n.minobsinnode","seed","prop","id","id2"
"1",1,0.969808062378592,0.882360414152322,0.994219653179191,0.333333333333333,2107,5000,2,0.01,4,1,0.8,"5000 2 0.01 4","1"
"2",2,0.975500516961569,0.821822768842636,0.995033112582781,0.238095238095238,2683,5000,2,0.01,4,1,0.9,"5000 2 0.01 4","1"
"3",3,0.964140235678904,0.868913017468294,0.994137353433836,0.214285714285714,1608,5000,2,0.01,4,2,0.8,"5000 2 0.01 4","1"
"4",4,0.966261907798102,0.840579710144927,0.994983277591973,0.222222222222222,1837,5000,2,0.01,4,2,0.9,"5000 2 0.01 4","1"
"5",5,0.962261162261162,0.867607878289883,0.99671322925226,0.242424242424242,1978,5000,2,0.01,4,3,0.8,"5000 2 0.01 4","1"
"6",6,0.974599596982248,0.905853658536585,0.995121951219512,0.2,3279,5000,2,0.01,4,3,0.9,"5000 2 0.01 4","1"
"7",7,0.975198857203425,0.901333333333333,0.994166666666667,0.3,2717,5000,2,0.01,4,4,0.8,"5000 2 0.01 4","1"
"8",8,0.966938979166806,0.858308261976394,0.996644295302013,0.241379310344828,1954,5000,2,0.01,4,4,0.9,"5000 2 0.01 4","1"
"9",9,0.970258759845567,0.840412151702786,0.995888157894737,0.176470588235294,2499,5000,2,0.01,4,5,0.8,"5000 2 0.01 4","1"
"10",10,0.974246891020303,0.826335139318885,0.996710526315789,0.176470588235294,2612,5000,2,0.01,4,5,0.9,"5000 2 0.01 4","1"
"11",11,0.961151807272661,0.880031336678736,0.995871180842279,0.307692307692308,1449,5000,2,0.01,5,1,0.8,"5000 2 0.01 5","2"
"12",12,0.973370286682024,0.821507410911384,0.995033112582781,0.238095238095238,2652,5000,2,0.01,5,1,0.9,"5000 2 0.01 5","2"
"13",13,0.963358087844862,0.867462311557789,0.994974874371859,0.214285714285714,1612,5000,2,0.01,5,2,0.8,"5000 2 0.01 5","2"
"14",14,0.965857621226934,0.842933234237582,0.996655518394649,0.185185185185185,1837,5000,2,0.01,5,2,0.9,"5000 2 0.01 5","2"
"15",15,0.961745261745262,0.866736386046164,0.995891536565325,0.242424242424242,1977,5000,2,0.01,5,3,0.8,"5000 2 0.01 5","2"
"16",16,0.975023183979696,0.90650406504065,0.995121951219512,0.2,3403,5000,2,0.01,5,3,0.9,"5000 2 0.01 5","2"
"17",17,0.974715866660885,0.90035,0.994166666666667,0.32,2717,5000,2,0.01,5,4,0.8,"5000 2 0.01 5","2"
"18",18,0.963111403256874,0.857440407313122,0.996644295302013,0.241379310344828,1808,5000,2,0.01,5,4,0.9,"5000 2 0.01 5","2"
"19",19,0.969738011737286,0.84500773993808,0.995888157894737,0.147058823529412,2375,5000,2,0.01,5,5,0.8,"5000 2 0.01 5","2"
"20",20,0.973949833242566,0.826915634674923,0.996710526315789,0.176470588235294,2612,5000,2,0.01,5,5,0.9,"5000 2 0.01 5","2"
"21",21,0.968062401285333,0.883006203815452,0.996696944673823,0.307692307692308,177,5000,2,0.1,4,1,0.8,"5000 2 0.1 4","3"
"22",22,0.964257176224722,0.804478082623778,0.995033112582781,0.19047619047619,210,5000,2,0.1,4,1,0.9,"5000 2 0.1 4","3"
"23",23,0.969882634199118,0.850330521655899,0.994974874371859,0.25,194,5000,2,0.1,4,2,0.8,"5000 2 0.1 4","3"
"24",24,0.96155499194733,0.821008299269169,0.994983277591973,0.333333333333333,193,5000,2,0.1,4,2,0.9,"5000 2 0.1 4","3"
"25",25,0.945771045771046,0.855718234107717,0.99671322925226,0.242424242424242,133,5000,2,0.1,4,3,0.8,"5000 2 0.1 4","3"
"26",26,0.955699859850228,0.884878048780488,0.995121951219512,0.3,223,5000,2,0.1,4,3,0.9,"5000 2 0.1 4","3"
"27",27,0.950320026401877,0.884783333333333,0.993333333333333,0.24,144,5000,2,0.1,4,4,0.8,"5000 2 0.1 4","3"
